target_id	test_stat	pval	qval
cds-YP_081530.1	12.240084961098	0.000467736993396421	0.0227632003452925
cds-YP_081547.1	12.7041829549846	0.000364838557760354	0.0227632003452925
cds-YP_081552.1_1	13.2932296494441	0.000266366242052335	0.0227632003452925
cds-YP_081521.1	10.9854675372569	0.000918291133007776	0.0335176263547838
cds-YP_007947989.1	8.74268818096341	0.00310845933720422	0.0352462314996132
cds-YP_081490.1	8.63390209810605	0.00329964036490509	0.0352462314996132
cds-YP_081551.1	8.74614603467283	0.0031025705580301	0.0352462314996132
cds-YP_081552.1	9.91293101293481	0.00164121534289919	0.0352462314996132
cds-YP_081552.1_2	8.59019635010294	0.00337977562325058	0.0352462314996132
cds-YP_081576.1	9.40454510686827	0.00216448212634956	0.0352462314996132
cds-YP_081599.1	9.55522922107516	0.00199380614022852	0.0352462314996132
cds-YP_081600.1	9.14367845238789	0.00249578836618208	0.0352462314996132
cds-YP_081601.1	9.45053469351756	0.0021108755557037	0.0352462314996132
cds-YP_081613.1	9.27186315794809	0.00232700870665411	0.0352462314996132
cds-YP_081531.1	8.06954685512753	0.00450153729225835	0.0438149629779813
